,Tweet Account,Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
0,@BBC,"😼 This seven-week-old jaguar is on a serious mission!  
#BigCatsAboutTheHouse https://t.co/JbiRyVXDCL",Wed Apr 04 07:00:06 +0000 2018,-0.1511,0.0,0.834,0.166,1
1,@BBC,"Philomena Cunk's landmark mockumentary series takes us through Britain's history, journeying from the Big Bang to B… https://t.co/1rF5k3acxy",Tue Apr 03 20:03:05 +0000 2018,0.0772,0.071,0.929,0.0,2
2,@BBC,"🎭 Andrew Scott performs the opening lines of #Shakespeare's most famous soliloquy. 

#Hamlet | Watch on @BBCiPlayer https://t.co/zZ15WjA9CL",Tue Apr 03 18:03:05 +0000 2018,0.0,0.0,1.0,0.0,3
3,@BBC,"No time to shop or cook? No problem! 
🍠🥑🍅🍗🥒
These easy recipes only have five ingredients.
👉 https://t.co/RanWkLFdlU https://t.co/moI1Af2olz",Tue Apr 03 17:03:04 +0000 2018,-0.5411,0.119,0.576,0.304,4
4,@BBC,"RT @BBCTwo: Tonight at 9pm, a cancer surgeon returns from annual leave to find his surgical list has snowballed due to staff shortages. #Ho…",Tue Apr 03 16:22:33 +0000 2018,-0.7351,0.0,0.735,0.265,5
5,@BBC,🐊💦 Fancy a dip? https://t.co/gpfkGcue3C,Tue Apr 03 16:02:04 +0000 2018,0.0,0.0,1.0,0.0,6
6,@BBC,"What's it like to live with a brain tumour? 
❤️ Ten-year-old Josh says it's all about staying happy and thinking of… https://t.co/HbjxBc3vYF",Tue Apr 03 15:05:05 +0000 2018,0.7351,0.246,0.754,0.0,7
7,@BBC,RT @BBCR1: Yessssss @NiallOfficial's Live Lounge cover of @juliamichaels' Issues is exactly what we needed today 😇 https://t.co/WeYj36TR67,Tue Apr 03 14:50:24 +0000 2018,0.0,0.0,1.0,0.0,8
8,@BBC,RT @BBCFOUR: Meet the woman who rocked the darts world... https://t.co/qMkRuTGDmW,Tue Apr 03 14:47:02 +0000 2018,0.0,0.0,1.0,0.0,9
9,@BBC,RT @TWBBC: Koko is a gorilla who has learnt sign language and even appears to have learnt to lie. This suggests she has a 'theory of mind'…,Tue Apr 03 14:27:34 +0000 2018,0.0,0.0,1.0,0.0,10
10,@BBC,"A Chinese family have been reunited with their daughter after a 24 year search.
👉 https://t.co/BDR7X4fukg https://t.co/J5BvVEw98q",Tue Apr 03 13:15:07 +0000 2018,0.0,0.0,1.0,0.0,11
11,@BBC,RT @bbccomedy: Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs. #CunkOnBritain @missdianemorgan https://…,Tue Apr 03 12:57:41 +0000 2018,0.0,0.0,1.0,0.0,12
12,@BBC,RT @BBCClick: Street Fighter II being played in your street? See how this classic game is brought to life with augmented reality! https://t…,Tue Apr 03 12:41:53 +0000 2018,0.5093,0.17,0.83,0.0,13
13,@BBC,#TheSecretHelpers is on @BBCTwo tonight at 7pm. 👉 https://t.co/grtaCChy4G,Tue Apr 03 12:05:58 +0000 2018,0.0,0.0,1.0,0.0,14
14,@BBC,"RT @BBCWales: The 2018 Commonwealth Games open today. Here's @TeamWales diver Aiden Heslop's story...

https://t.co/Rx0JsArMdi",Tue Apr 03 12:02:22 +0000 2018,0.0,0.0,1.0,0.0,15
15,@BBC,"Would you let a stranger help you in a nerve-wracking situation? 

Secret helpers in South Africa gave Jonny romanc… https://t.co/LRwo1LQteF",Tue Apr 03 12:01:00 +0000 2018,0.5859,0.231,0.769,0.0,16
16,@BBC,"8-year-old Alexa is going blind, so she's created a list of things she wants to see before that happens. ❤️https://t.co/7UAs9sWBDn",Tue Apr 03 11:37:31 +0000 2018,-0.1082,0.104,0.773,0.123,17
17,@BBC,RT @bbcthesocial: We're looking for folk to make videos with us! Get involved 👇 https://t.co/YY6eK82XPc,Tue Apr 03 11:28:48 +0000 2018,0.0,0.0,1.0,0.0,18
18,@BBC,"RT @BBCScotland: A classic nursery rhyme like you've never heard it before 🐔 

@DaftLimmy returns to our tellies with Limmy's Homemade Show…",Tue Apr 03 11:22:03 +0000 2018,0.3612,0.116,0.884,0.0,19
19,@BBC,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/2sSod0k54f",Tue Apr 03 11:01:05 +0000 2018,0.0,0.0,1.0,0.0,20
20,@BBC,RT @bbcthesocial: We're flipping the script on dyslexia (watch to the end!) https://t.co/Bkc6IVWqQw,Tue Apr 03 10:55:48 +0000 2018,0.0,0.0,1.0,0.0,21
21,@BBC,"RT @BBCR1: ""Are you ready to pump for Justin?"" 😂

@MollieKing told @MattEdmondson she went on the Saturday Show to try to meet @JTimberlake…",Tue Apr 03 10:46:40 +0000 2018,0.3612,0.102,0.898,0.0,22
22,@BBC,RT @BBCOne: Good news klaxon! 🎉Shakespeare &amp; Hathaway - Private Investigators will return to @BBCOne for a second series. More info here 👉…,Tue Apr 03 10:31:13 +0000 2018,0.4926,0.138,0.862,0.0,23
23,@BBC,🐾🦕 New light has been shed on dinosaur evolution after giant prehistoric footprints were discovered on the Isle of… https://t.co/n9FwbF9lHC,Tue Apr 03 09:29:03 +0000 2018,0.0,0.0,1.0,0.0,24
24,@BBC,"From Mary Beard not wanting to be a TV Presenter, to the people protecting art in war zones... 

Here are 9 fascina… https://t.co/SbAVgjwbUE",Tue Apr 03 08:03:04 +0000 2018,-0.5994,0.0,0.837,0.163,25
25,@BBC,The winners of the Scottish Nature Photography Awards 2017 have been announced. 📸 🐤 🌳 https://t.co/VhRxiF5zl3 https://t.co/2SIwUQsHgH,Tue Apr 03 07:16:07 +0000 2018,0.7269,0.337,0.663,0.0,26
26,@BBC,"This is Maya the jaguar's very first swim! 😺💦 #BigCatsAboutTheHouse 

https://t.co/IacZP3ltf3",Tue Apr 03 07:03:05 +0000 2018,0.0,0.0,1.0,0.0,27
27,@BBC,"Delve into the world of @agathachristie with Bill Nighy. 🔍 #OrdealByInnocence
https://t.co/6amR2TK52M",Mon Apr 02 20:02:08 +0000 2018,0.0,0.0,1.0,0.0,28
28,@BBC,"In a revealing and emotional journey, @LennyHenry investigates the relationship between the Commonwealth, the Carib… https://t.co/b58oqaOqQz",Mon Apr 02 19:02:04 +0000 2018,0.1531,0.103,0.897,0.0,29
29,@BBC,"A fictionalised account of how Dave Allen became one of TV's greats. 

Dave Allen at Peace | 9pm | @BBCTwo |… https://t.co/UFyHxzmRn2",Mon Apr 02 18:45:06 +0000 2018,0.5423,0.163,0.837,0.0,30
30,@BBC,"Would you try a blue cheese and pear ice cream? 🍦🧀

 https://t.co/g1zRQUKr0a",Mon Apr 02 17:08:03 +0000 2018,0.0,0.0,1.0,0.0,31
31,@BBC,"RT @BBCBreaking: South African anti-apartheid campaigner Winnie Mandela has died aged 81, her personal assistant says https://t.co/krdVvFLY…",Mon Apr 02 14:14:17 +0000 2018,-0.5574,0.0,0.816,0.184,32
32,@BBC,Is it easier to be a businesswoman in the West or in Asia? This is one woman's experience... https://t.co/fI84r6x06p,Mon Apr 02 13:32:07 +0000 2018,0.4215,0.141,0.859,0.0,33
33,@BBC,RT @BBCWorld: Hill Street Blues creator Steven Bochco dies aged 74 https://t.co/5lrOJWDuTu,Mon Apr 02 11:58:06 +0000 2018,0.0,0.0,1.0,0.0,34
34,@BBC,"""I have cerebral palsy. But that won't stop me from becoming a barrister."" 

This is Daniel's story. 
https://t.co/cvao6fjUoW",Mon Apr 02 11:07:00 +0000 2018,0.2235,0.106,0.894,0.0,35
35,@BBC,From Easter egg nest cakes to hot cross buns: @BBCFood have lots of Easter baking ideas!  🍰🍫🐣… https://t.co/BValJcDkAd,Mon Apr 02 10:02:06 +0000 2018,0.0,0.0,1.0,0.0,36
36,@BBC,"🥚 😮 @SandiToksvig knows how to squeeze an egg into a glass bottle! #QI
 https://t.co/ykMxxdLKq7",Mon Apr 02 09:03:04 +0000 2018,0.0,0.0,1.0,0.0,37
37,@BBC,RT @BBCScotlandNews: Commonwealth Games: Eilidh Doyle chosen to be Scotland's first female flag bearer https://t.co/sX7vzZFn0E https://t.co…,Mon Apr 02 08:16:56 +0000 2018,0.0,0.0,1.0,0.0,38
38,@BBC,"RT @BBCRadio4: Why we ❤ the Shipping Forecast - Discover the secrets of the iconic weather report 
https://t.co/ozBEl8gbWv https://t.co/eJt…",Mon Apr 02 08:14:23 +0000 2018,0.0,0.0,1.0,0.0,39
39,@BBC,"RT @BBCSport: ""The fans were demanding something, and I gave them Zlatan.""

Imagine football without this guy 😂🙈 https://t.co/CZIQnYFIPL",Mon Apr 02 08:14:09 +0000 2018,-0.2263,0.0,0.899,0.101,40
40,@BBC,"RT @CBeebiesHQ: Autism feels different for everybody 🤔

The #Pablo cast, show us how a person with autism might experience the world in thi…",Mon Apr 02 08:13:54 +0000 2018,0.0,0.0,1.0,0.0,41
